query_profile_index,method,rank,similarity_score,profile_id,age,sex,orientation,status,location,job,education,bio_preview
0,tfidf,1,0.0832,59337,43,m,straight,single,"san francisco, california",artistic / musical / writer,dropped out of space camp,"independent metal artist that knows a little about a lot and a lot about a little. i'm funny,playful,and kind.i have a great kid that i co-parent.i like fishing. i am a blacksmith/metalworker.i work at a shop with a bunc..."
0,tfidf,2,0.0775,55737,38,f,straight,single,"san francisco, california",,graduated from masters program,"i grew up in the midwest, my family now lives in upstate new york. i've been in san francisco for 6 years, which is the longest i've been in a place in the last 15 years. i used to be a television reporter and moved ever..."
0,tfidf,3,0.0754,4435,26,m,straight,single,"palo alto, california",banking / financial / real estate,graduated from college/university,"born and raised in the bay area, now living in half moon bay and working in burlingame. i enjoy traveling, ethnic foods (think those two go hand in hand), and running in the mud. i joined okc to meet interesting people (..."
0,tfidf,4,0.0749,3217,25,f,straight,single,"san francisco, california",sales / marketing / biz dev,graduated from college/university,"i just moved to the bay area after living in san diego for a long time. i'm excited for this new chapter in my life. i'm happy with life. i have a good job, healthy, my teeth are clean, and the sun is shinning. there is..."
0,tfidf,5,0.0719,51708,49,f,straight,single,"san francisco, california",education / academia,graduated from masters program,"i bring excitement, strength, and romance. my foundation lies in the strength of my heart, mind, and body. i am a mid-west kanzanian. i moved to san francisco thirteen years ago and have enjoyed every moment since. i lov..."
10,tfidf,1,0.1102,25267,55,m,straight,available,"san francisco, california",other,graduated from college/university,"searching for a woman who can appreciate my love of the perverse a connection on so many levels intellectual, cultural, emotional, physical... yes, i am a kinky man, educated and cultured. my distraction is sex that goes..."
10,tfidf,2,0.1054,678,24,m,straight,single,"san francisco, california",sales / marketing / biz dev,graduated from college/university,"i move around too much for the past 6 years, got friends all over but no stable group. finally settle in sf now hope things will get better~ make money so i can retire my family accepting can't find my eyes the curious c..."
10,tfidf,3,0.0947,6041,37,f,straight,single,"mill valley, california",sales / marketing / biz dev,graduated from college/university,"i have a funny kind of faith about life, or myself--hard to describe but i'm here to take the whole journey and love every minute of it. 5 yrs ago i put my stuff in storage and spent the last several years traveling and..."
10,tfidf,4,0.092,35360,44,m,straight,single,"richmond, california",artistic / musical / writer,graduated from two-year college,i just want to find love someone to love and someone to love me and with luck eventually meet someone to spend the rest of my life with. i mean it as a desire not as the only goal. i want to have fun too. i believe very...
10,tfidf,5,0.0897,4467,35,m,straight,single,"el sobrante, california",science / tech / engineering,graduated from college/university,"kudos to the strong women out there. women have this impossible image to uphold. in this world where image is everything, you're in an impossible balance between what people say you should do and what you want to do. wha..."
