method,query_index,query_profile_id,top_k,avg_age_diff,same_city_at_k,same_sex_at_k,same_orientation_at_k,same_status_at_k,same_job_at_k,same_education_at_k
random_baseline,20111,2606,5,9.0,0.4,0.2,0.8,1.0,0.0,
random_baseline,25644,45715,5,7.0,0.4,0.6,0.0,1.0,0.0,0.0
random_baseline,22505,45034,5,15.4,0.0,0.6,1.0,1.0,,0.0
random_baseline,4458,39522,5,2.2,0.8,1.0,0.8,0.8,0.0,0.4
random_baseline,38919,355,5,8.6,0.2,0.8,1.0,1.0,,
random_baseline,48531,32833,5,11.6,0.2,0.4,0.2,1.0,0.0,0.2
random_baseline,32177,59558,5,6.6,0.2,0.6,0.8,0.8,0.25,0.0
random_baseline,35021,13361,5,12.8,0.0,0.2,0.2,0.8,0.0,0.0
random_baseline,13834,58931,5,7.8,0.8,0.6,0.6,1.0,0.0,0.0
random_baseline,22283,13213,5,9.6,0.4,1.0,1.0,0.8,,
random_baseline,17724,5685,5,5.2,0.0,0.4,1.0,0.8,0.0,0.0
random_baseline,33895,33362,5,8.2,0.6,0.6,0.8,1.0,,0.25
random_baseline,21631,26875,5,29.2,0.2,0.4,0.8,1.0,0.0,1.0
random_baseline,3395,2433,5,18.6,0.4,0.6,0.8,0.8,0.0,0.0
random_baseline,39276,25445,5,7.6,0.2,0.4,1.0,1.0,0.2,0.5
random_baseline,26303,39220,5,6.8,0.0,0.8,1.0,1.0,0.0,0.4
random_baseline,25003,49325,5,8.2,0.4,0.2,0.6,1.0,0.0,0.0
random_baseline,37898,12578,5,11.0,0.6,0.4,0.8,1.0,0.0,0.4
random_baseline,10065,13596,5,5.4,0.8,0.2,1.0,1.0,0.0,0.0
random_baseline,41961,39990,5,13.0,0.2,0.2,1.0,1.0,0.0,
random_baseline,27720,745,5,11.6,0.8,0.4,1.0,1.0,0.0,0.0
random_baseline,41119,21676,5,4.4,0.4,0.2,1.0,1.0,0.25,0.0
random_baseline,8259,40010,5,9.2,0.0,0.2,0.8,1.0,0.25,0.0
random_baseline,34839,7521,5,6.2,0.0,0.6,1.0,1.0,0.4,0.3333333333333333
random_baseline,44381,41899,5,10.6,0.4,0.6,0.8,1.0,,0.0
random_baseline,44654,26296,5,9.6,0.0,0.6,0.8,0.8,,0.0
random_baseline,21923,26254,5,24.2,0.0,0.4,1.0,1.0,0.2,
random_baseline,4605,36237,5,16.4,0.0,0.4,1.0,1.0,,0.25
random_baseline,42892,45688,5,5.6,0.4,0.4,0.8,0.8,,
random_baseline,46314,23663,5,4.8,0.0,0.8,1.0,1.0,0.0,0.25
random_baseline,31576,32422,5,11.0,0.8,0.4,1.0,1.0,0.25,0.2
random_baseline,32697,14047,5,9.0,0.0,0.8,1.0,1.0,0.0,0.25
